"CubeId";"bopcapbalq"
"PublishingDate";"2020-12-18 09:00"

"Date";"D0";"D1";"Value"
"2000-Q3";"NA";"RE";"4209.3"
"2000-Q3";"NA";"K0";"2349.325"
"2000-Q3";"NA";"T2";"366.35834604"
"2000-Q3";"NA";"T25";"-831.04896247"
"2000-Q3";"NA";"KFR";"-4338.95724762"
"2000-Q3";"NA";"LFR";"3507.90828515"
"2000-Q3";"NA";"T3";"1197.40730852"
"2000-Q3";"NA";"A";"636.78106852"
"2000-Q3";"NA";"K1";"560.62624"
"2000-Q3";"NA";"T4";"74895.26545298"
"2000-Q3";"NA";"T5";"68235.03401707"
"2000-Q3";"NA";"N0";"-119.43838771"
"2000-Q3";"NA";"T55";"64233.67240478"
"2000-Q3";"NA";"FGB";"58395.01699422"
"2000-Q3";"NA";"OH0";
"2000-Q3";"NA";"US0";"4120.8"
"2000-Q3";"NA";"T6";"6660.23143591"
"2000-Q3";"NA";"N1";"0"
"2000-Q3";"NA";"T65";"5722.53143591"
"2000-Q3";"NA";"FGK";"5722.53143591"
"2000-Q3";"NA";"OH1";"4.7"
"2000-Q3";"NA";"US1";"933"
"2000-Q3";"NA";"UNA";"0"
"2000-Q3";"NA";"T7";"956.57392407"
"2000-Q3";"NA";"G";
"2000-Q3";"NA";"RIWF";"-171"
"2000-Q3";"NA";"S1";"-184"
"2000-Q3";"NA";"T8";"1311.57392407"
"2000-Q3";"NA";"W0";"335.44789835"
"2000-Q3";"NA";"BE";"976.12602572"
"2000-Q3";"NA";"U";"0"
"2000-Q3";"NP";"T0";"82242.91096461"
"2000-Q3";"NP";"T1";"10185.8"
"2000-Q3";"NP";"B0";"3055.525"
"2000-Q3";"NP";"RE";"2952.55"
"2000-Q3";"NP";"K0";"4177.725"
"2000-Q3";"NP";"T2";"2512.79592034"
"2000-Q3";"NP";"T25";"230.46315153"
"2000-Q3";"NP";"KFR";"-98.2933929"
"2000-Q3";"NP";"LFR";"328.75654443"
"2000-Q3";"NP";"T3";"2282.33276881"
"2000-Q3";"NP";"A";"987.25872301"
"2000-Q3";"NP";"K1";"1295.0740458"
"2000-Q3";"NP";"T4";"69544.31504426"
"2000-Q3";"NP";"T5";"65113.21504426"
"2000-Q3";"NP";"N0";"-223.21260676"
"2000-Q3";"NP";"T55";"65336.42765103"
"2000-Q3";"NP";"VGB";"70090.77233256"
"2000-Q3";"NP";"VGK";"-4917.8572755"
"2000-Q3";"NP";"OH0";
"2000-Q3";"NP";"US0";
"2000-Q3";"NP";"T6";"4431.1"
"2000-Q3";"NP";"N1";
"2000-Q3";"NP";"OH1";"8.3"
"2000-Q3";"NP";"US1";"4422.8"
"2000-Q3";"NP";"UNP";"0"
"2000-Q3";"S";"KD";"6205.7117585"
"2000-Q3";"S";"D0";"2044.625"
"2000-Q3";"S";"P";"-2146.4375743"
"2000-Q3";"S";"D2";
"2000-Q3";"S";"UI";"5350.95040872"
"2000-Q3";"S";"W1";"956.57392407"
"2000-Q4";"NA";"T0";"102943.62714646"
"2000-Q4";"NA";"T1";"51164.525"
"2000-Q4";"NA";"B0";"39278.7"
"2000-Q4";"NA";"RE";"4209.3"
"2000-Q4";"NA";"K0";"7676.525"
"2000-Q4";"NA";"T2";"2837.74659349"
"2000-Q4";"NA";"T25";"-16416.78472611"
"2000-Q4";"NA";"KFR";"-6185.61856883"
"2000-Q4";"NA";"LFR";"-10231.16615728"
"2000-Q4";"NA";"T3";"19254.53131959"
"2000-Q4";"NA";"A";"16146.2579564"
"2000-Q4";"NA";"K1";"3108.27336319"
"2000-Q4";"NA";"T4";"47867.56127637"
"2000-Q4";"NA";"T5";"42732.90525772"
"2000-Q4";"NA";"N0";"-555.09660184"
"2000-Q4";"NA";"T55";"43342.70185956"
"2000-Q4";"NA";"FGB";"39656.97181595"
"2000-Q4";"NA";"OH0";
"2000-Q4";"NA";"US0";"-54.7"
"2000-Q4";"NA";"T6";"5128.15601866"
"2000-Q4";"NA";"N1";"0"
"2000-Q4";"NA";"T65";"7475.65601866"
"2000-Q4";"NA";"FGK";"7475.65601866"
"2000-Q4";"NA";"OH1";"9.7"
"2000-Q4";"NA";"US1";"-2357.2"
"2000-Q4";"NA";"UNA";"6.5"
"2000-Q4";"NA";"T7";"1073.7942766"
"2000-Q4";"NA";"G";
"2000-Q4";"NA";"RIWF";"14"
"2000-Q4";"NA";"S1";"68"
"2000-Q4";"NA";"T8";"982.7942766"
"2000-Q4";"NA";"W0";"395.3767547"
"2000-Q4";"NA";"BE";"587.4175219"
"2000-Q4";"NA";"U";"9"
"2000-Q4";"NP";"T0";"73429.75659963"
"2000-Q4";"NP";"T1";"16412.5"
"2000-Q4";"NP";"B0";"10009.725"
"2000-Q4";"NP";"RE";"3761.75"
"2000-Q4";"NP";"K0";"2641.025"
"2000-Q4";"NP";"T2";"13774.02524314"
"2000-Q4";"NP";"T25";"307.84737043"
"2000-Q4";"NP";"KFR";"241.2462115"
"2000-Q4";"NP";"LFR";"66.60115893"
"2000-Q4";"NP";"T3";"13466.17787271"
"2000-Q4";"NP";"A";"12027.74704811"
"2000-Q4";"NP";"K1";"1438.4308246"
"2000-Q4";"NP";"T4";"43243.23135649"
"2000-Q4";"NP";"T5";"41717.73135649"
"2000-Q4";"NP";"N0";"353.69992234"
"2000-Q4";"NP";"T55";"41364.03143414"
"2000-Q4";"NP";"VGB";"38594.21245281"
"2000-Q4";"NP";"VGK";"1541.35171178"
"2000-Q4";"NP";"OH0";
"2000-Q4";"NP";"US0";
"2000-Q4";"NP";"T6";"1525.5"
"2000-Q4";"NP";"N1";
"2000-Q4";"NP";"OH1";"-55"
"2000-Q4";"NP";"US1";"1580.5"
"2000-Q4";"NP";"UNP";"0"
"2000-Q4";"S";"KD";"29513.87054683"
"2000-Q4";"S";"D0";"34752.025"
"2000-Q4";"S";"P";"-10936.27864965"
"2000-Q4";"S";"D2";
"2000-Q4";"S";"UI";"4624.32991988"
"2000-Q4";"S";"W1";"1073.7942766"
"2001-Q1";"NA";"T0";"66232.41518136"
"2001-Q1";"NA";"T1";"6284.125"
"2001-Q1";"NA";"B0";"7555.75"
"2001-Q1";"NA";"RE";"1033.075"
"2001-Q1";"NA";"K0";"-2304.7"
"2001-Q1";"NA";"T2";"43875.28773833"
"2001-Q1";"NA";"T25";"25008.0960735"
"2001-Q1";"NA";"KFR";"-342.34690586"
"2001-Q1";"NA";"LFR";"25350.44297937"
"2001-Q1";"NA";"T3";"18867.19166482"
"2001-Q1";"NA";"A";"13601.55748746"
"2001-Q1";"NA";"K1";"5265.63417737"
"2001-Q1";"NA";"T4";"18893.23063715"
"2001-Q1";"NA";"T5";"11109.56262836"
"2001-Q1";"NA";"N0";"1994.21510284"
"2001-Q1";"NA";"T55";"13007.84752552"
"2001-Q1";"NA";"FGB";"13244.13517713"
"2001-Q1";"NA";"OH0";
"2001-Q1";"NA";"US0";"-3892.5"
"2001-Q1";"NA";"T6";"7783.66800878"
"2001-Q1";"NA";"N1";"0"
"2001-Q1";"NA";"T65";"2624.26800878"
"2001-Q1";"NA";"FGK";"2624.26800878"
"2001-Q1";"NA";"OH1";"-3.4"
"2001-Q1";"NA";"US1";"5162.8"
"2001-Q1";"NA";"UNA";"0"
"2001-Q1";"NA";"T7";"-2820.22819411"
"2001-Q1";"NA";"G";
"2001-Q1";"NA";"RIWF";"30"
"2001-Q1";"NA";"S1";"-59"
"2001-Q1";"NA";"T8";"-2791.22819411"
"2001-Q1";"NA";"W0";"2405.50995489"
"2001-Q1";"NA";"BE";"-5196.738149"
"2001-Q1";"NA";"U";"0"
"2001-Q1";"NP";"T0";"55616.0924351"
"2001-Q1";"NP";"T1";"-2296.325"
"2001-Q1";"NP";"B0";"3645.05"
"2001-Q1";"NP";"RE";"-2354.225"
"2001-Q1";"NP";"K0";"-3587.15"
"2001-Q1";"NP";"T2";"366.62723728"
"2001-Q1";"NP";"T25";"115.10849616"
"2001-Q1";"NP";"KFR";"-235.413447"
"2001-Q1";"NP";"LFR";"350.52194316"
"2001-Q1";"NP";"T3";"251.51874112"
"2001-Q1";"NP";"A";"-2233.53365088"
"2001-Q1";"NP";"K1";"2485.052392"
"2001-Q1";"NP";"T4";"57545.79019782"
"2001-Q1";"NP";"T5";"49453.29019782"
"2001-Q1";"NP";"N0";"-23.32948399"
"2001-Q1";"NP";"T55";"49476.61968182"
"2001-Q1";"NP";"VGB";"49444.10119309"
"2001-Q1";"NP";"VGK";"251.95720414"
"2001-Q1";"NP";"OH0";
"2001-Q1";"NP";"US0";
"2001-Q1";"NP";"T6";"8092.5"
"2001-Q1";"NP";"N1";
"2001-Q1";"NP";"OH1";"-116.9"
"2001-Q1";"NP";"US1";"8209.4"
"2001-Q1";"NP";"UNP";"0"
"2001-Q1";"S";"KD";"10616.32274626"
"2001-Q1";"S";"D0";"8580.45"
"2001-Q1";"S";"P";"43508.66050105"
"2001-Q1";"S";"D2";
"2001-Q1";"S";"UI";"-38652.55956067"
"2001-Q1";"S";"W1";"-2820.22819411"
"2001-Q2";"NA";"T0";"2462.58431373"
"2001-Q2";"NA";"T1";"4827.725"
"2001-Q2";"NA";"B0";"3231.45"
"2001-Q2";"NA";"RE";"1033.075"
"2001-Q2";"NA";"K0";"563.2"
"2001-Q2";"NA";"T2";"18809.90484965"
"2001-Q2";"NA";"T25";"14364.94482251"
"2001-Q2";"NA";"KFR";"4398.86420669"
"2001-Q2";"NA";"LFR";"9966.08061582"
"2001-Q2";"NA";"T3";"4444.96002714"
"2001-Q2";"NA";"A";"1572.71782775"
"2001-Q2";"NA";"K1";"2872.24219939"
"2001-Q2";"NA";"T4";"-22295.45168335"
"2001-Q2";"NA";"T5";"-23717.22417878"
"2001-Q2";"NA";"N0";"2879.65954192"
"2001-Q2";"NA";"T55";"-30734.2837207"
"2001-Q2";"NA";"FGB";"-28983.60719238"
"2001-Q2";"NA";"OH0";
"2001-Q2";"NA";"US0";"4137.4"
"2001-Q2";"NA";"T6";"1421.77249543"
"2001-Q2";"NA";"N1";"3.58457135"
"2001-Q2";"NA";"T65";"20.08792408"
"2001-Q2";"NA";"FGK";"20.08792408"
"2001-Q2";"NA";"OH1";"-2.6"
"2001-Q2";"NA";"US1";"1400.7"
"2001-Q2";"NA";"UNA";"0"
"2001-Q2";"NA";"T7";"1120.40614743"
"2001-Q2";"NA";"G";
"2001-Q2";"NA";"RIWF";"90"
"2001-Q2";"NA";"S1";"639"
"2001-Q2";"NA";"T8";"391.40614743"
"2001-Q2";"NA";"W0";"-43.17099071"
"2001-Q2";"NA";"BE";"434.57713814"
"2001-Q2";"NA";"U";"0"
"2001-Q2";"NP";"T0";"-30847.87673665"
"2001-Q2";"NP";"T1";"1463.075"
"2001-Q2";"NP";"B0";"3828.35"
"2001-Q2";"NP";"RE";"152.075"
"2001-Q2";"NP";"K0";"-2517.35"
"2001-Q2";"NP";"T2";"1899.14644456"
"2001-Q2";"NP";"T25";"-146.19497454"
"2001-Q2";"NP";"KFR";"401.1273516"
"2001-Q2";"NP";"LFR";"-547.32232614"
"2001-Q2";"NP";"T3";"2045.3414191"
"2001-Q2";"NP";"A";"-500.7119163"
"2001-Q2";"NP";"K1";"2546.0533354"
"2001-Q2";"NP";"T4";"-34210.09818122"
"2001-Q2";"NP";"T5";"-32402.19818122"
"2001-Q2";"NP";"N0";"993.31716751"
"2001-Q2";"NP";"T55";"-33395.51534872"
